name,gsr_y,dvars_vstd,fd_mean,fber,tsnr,snr,mriqc_fail
sub-s553_WATT3,25.308673858642575,3.131387700440944,0.0305546764284372,0.1376854076449666,0.9587460959418606,20216.349609375,1
sub-s553_twoByTwo,35.50310134887695,3.133730441655486,0.0276804994791746,0.0752992633057994,0.99732820621963,24183.974609375,1
sub-s553_CCTHot,36.257293701171875,3.081534792329977,0.0305509679019451,0.0647620745798363,0.9923399790306124,21807.720703125,1
sub-s553_stopSignal,44.34086608886719,3.1787864366566674,0.0273336730897426,0.0607873820557421,0.977579279609375,28153.224609375,1
sub-s553_ANT,45.000274658203125,3.164277366528573,0.0301907137036323,0.0653005503143081,0.9918540151291518,23563.615234375,1
sub-s649_WATT3,21.47153663635254,3.8345181867186766,0.0498634465038776,0.2291975431568652,0.9202628291739556,9646.4013671875,1
sub-s649_twoByTwo,21.47153663635254,3.8345181867186766,0.0498634465038776,0.2291975431568652,0.9202628291739556,9646.4013671875,1
sub-s445_stroop,35.597965240478516,3.174472132029074,0.0458613894879817,0.0799306013049684,1.0485971413609465,7873.73193359375,1
sub-s445_stopSignal,39.96080780029297,3.4883968245763577,0.0316088050603866,0.0630205822402083,0.981919437571702,9847.5673828125,1
sub-s445_ANT,37.58336639404297,3.6118908555020024,0.0283468011766672,0.0697013647466934,0.9962506177297308,8965.298828125,1
sub-s445_CCTHot,23.457183837890625,3.325454320495233,0.0340081043541431,0.1984304279193806,0.9549033245901634,8713.4140625,1
sub-s445_WATT3,33.713653564453125,3.545579988470801,0.0301400870084762,0.1105403170814848,1.0166481536236385,9878.3603515625,1
sub-s445_twoByTwo,26.186424255371097,3.455667360823672,0.0328409783542156,0.0766990508586838,0.9402030695335274,8423.9423828125,1
sub-s445_DPX,33.115848541259766,3.4727053833402572,0.0372581183910369,0.0815333807993569,0.9696646943880324,11073.84765625,1
sub-s445_discountFix,34.670326232910156,3.500778825282968,0.0370236672461032,0.0751780384412671,0.9732855297505424,11292.9873046875,1
sub-s445_motorSelectiveStop,31.599037170410156,3.459946405736511,0.0369854755699634,0.07886525114473,0.9449865137029508,11404.328125,1
sub-s607_WATT3,37.657257080078125,3.2104008509696564,0.0495722778141498,0.0571481565009654,0.9870568820165756,12349.0341796875,1
sub-s607_twoByTwo,34.296607971191406,3.2605846667390916,0.0475236847996711,0.0556667606715159,0.9672905771234198,12298.416015625,1
sub-s607_stopSignal,43.57053756713867,3.302169436970615,0.0430840216577053,0.0536173762315021,0.9721920108447928,13631.2197265625,1
sub-s607_CCTHot,39.06196594238281,3.2262534862172845,0.0477456972002983,0.0516112810522254,0.9683696676960788,12070.220703125,1
sub-s582_twoByTwo,25.453527450561523,3.55268412730176,0.0308707039803266,0.1896348244551194,0.9424797974829936,5790.16943359375,1
sub-s582_stopSignal,36.95709609985352,3.4831932220209705,0.0275197625160217,0.1040341914321809,0.9881693311023624,5868.96875,1
sub-s582_ANT,29.503463745117188,3.51530559528073,0.0315473787486553,0.2201505570322666,1.0290019577777778,6548.7138671875,1
