name,gsr_y,dvars_vstd,fd_mean,fber,tsnr,snr,mriqc_fail
sub-s597_ANT,0.6310508863727086,2.281161021070324,-0.47073893920579035,0.2618125990086084,0.1912698142503395,0.18925240507712612,0
sub-s597_CCTHot,0.4914266593889005,2.185236305654337,-0.608668496369094,0.06786479912165715,0.6222804689285993,0.1833741829157908,0
sub-s597_twoByTwo,-0.22720972289806915,2.1075557917619916,-0.4739619736458939,0.42306817434066185,-0.297650583506034,0.18167509068648918,0
sub-s597_WATT3,0.5852151009852207,2.219166971418303,-0.5701874561743691,0.20686574775690839,0.27641901653256357,0.19907459809674086,0
sub-s597_rest,-0.12336507515622852,2.2848104608634676,-0.45749673445748623,0.5553023313401363,-0.2610010456847624,0.2175178314344706,0
sub-s597_stopSignal,1.2884636723609273,2.179758143980148,-0.4789299191340657,-0.000594664998362548,0.19133341276771135,0.158357664814262,0
sub-s597_surveyMedley,0.5926880278668076,2.681995887751733,-0.4149107124887481,-0.15856011335313613,0.39006409540412545,0.04574620297731601,0
sub-s597_rest,0.4581331655152288,2.7871677239778,-0.48342564708112556,-0.00785491288931611,0.3890353928106755,0.2801594994636755,0
sub-s597_DPX,-0.5502712289156538,2.685792287880829,-0.43862023656847504,0.27824719928775776,-0.5345351651984356,0.1732941903467715,0
sub-s597_discountFix,0.15302135479015305,2.6053180894119468,-0.37222061960462827,0.044966018242815875,0.08530428470629367,0.0145501934517988,0
sub-s597_stroop,0.286245455438565,2.5206770977794286,-0.2954282618154993,0.16652793672887453,1.1110483576625292,-0.028524518964900585,0
sub-s597_motorSelectiveStop,-0.5353895598005425,2.602990347884301,-0.37343941319124097,0.36462957352975595,0.2751510276989083,0.028658530385020906,0
sub-s590_twoByTwo,0.05351192156317664,0.2416498843260309,-0.4945980722887271,-0.4344834176540102,-0.6514650600106012,0.1909753452741127,0
sub-s590_CCTHot,0.845072455849548,0.19773303584491658,-0.46195234820806347,-0.5122698186823558,0.02144900819052082,0.18120099912637222,0
sub-s590_rest,0.7393970174320139,0.43369512373202285,-0.5324331044235011,-0.5193168566841265,-0.24844576248529968,0.6154344546705011,0
sub-s590_ANT,0.7227756387132219,0.22001594891837672,-0.46668864833627394,-0.49986379534403796,-0.06603284657185429,0.2816887881256,0
sub-s590_WATT3,0.3713885305820193,0.2157413902528188,-0.43933008834958553,-0.45687760070573286,-0.1907873595190958,0.13461716392038323,0
sub-s590_stopSignal,0.7429846336175382,0.338147022745056,-0.5218956134976744,-0.5138906214996308,-0.2549604500341714,0.5239661783608334,0
sub-s590_motorSelectiveStop,-0.30091815016856094,0.09035184584089308,-1.0994932617659283,-0.1859905694594939,0.21420254727954227,-0.0844671721221952,0
sub-s590_stroop,-0.4328787301736812,-0.0037057953690416813,-1.014735467530708,-0.2430375086081102,-0.5465477563931399,-0.0083097438757883,0
