name,gsr_y,dvars_vstd,fd_mean,fber,tsnr,snr,mriqc_fail
sub-s597_ANT,40.83504867553711,4.119255893298856,0.03019949235022068,0.1227970396545403,0.9927602948007255,12985.1982421875,0
sub-s597_CCTHot,39.96372604370117,4.084193402645131,0.027925873175263405,0.11066201119189488,1.0081984852405323,12947.166015625,0
sub-s597_twoByTwo,35.479087829589844,4.055799549397661,0.030146364122629166,0.13288656373037597,0.9752478594849363,12936.1728515625,0
sub-s597_WATT3,40.54901123046875,4.0965957709614145,0.02856019139289856,0.11935909602094,0.995810218477466,13048.748046875,0
sub-s597_rest,36.12712860107422,4.120589839905667,0.030417775735259056,0.14116026036347978,0.9765605939574474,13168.076171875,0
sub-s597_stopSignal,44.9376220703125,4.082191019925851,0.030064472928643227,0.10637860325368605,0.9927625728094297,12785.30859375,0
sub-s597_surveyMedley,40.595645904541016,4.265769424308629,0.031119760125875473,0.09649493758170079,0.9998808240439937,12056.7099609375,0
sub-s597_rest,39.755958557128906,4.304211931109092,0.029990365728735924,0.1059243402259335,0.9998439773758864,13573.369140625,0
sub-s597_DPX,33.46302795410156,4.26715708799329,0.030728934332728386,0.12382532841200977,0.9667629896917497,12881.9482421875,0
sub-s597_discountFix,37.85191345214844,4.237742084576862,0.03182346001267433,0.10922926816574767,0.9889647598008376,11854.87109375,0
sub-s597_stroop,38.68329620361328,4.206804031071388,0.033089298754930496,0.11683521853828063,1.0257054578994087,11576.1767578125,0
sub-s597_motorSelectiveStop,33.5558967590332,4.236891246341862,0.03180336952209473,0.12923014646464323,0.9957648009155634,11946.15234375,0
sub-s590_twoByTwo,37.230926513671875,3.3737718972280586,0.02980620041489601,0.07923082242726234,0.9625747266763857,12996.345703125,0
sub-s590_CCTHot,42.17064666748047,3.357719370173561,0.03034432977437973,0.07436384177042615,0.9866775543484042,12933.10546875,0
sub-s590_rest,41.51118087768555,3.4439684506664925,0.02918253093957901,0.07392291897172111,0.9770103063971635,15742.60546875,0
sub-s590_ANT,41.40745544433594,3.365864241158977,0.030266257002949715,0.07514006839638673,0.9835440783677298,13583.263671875,0
sub-s590_WATT3,39.214630126953125,3.364301800524048,0.030717233195900917,0.07782965134468882,0.9790755486267597,12631.70703125,0
sub-s590_stopSignal,41.5335693359375,3.4090436204670134,0.029356230050325394,0.07426243052301099,0.9767769595275592,15150.8037109375,0
sub-s590_motorSelectiveStop,35.01911163330078,3.3184692983378055,0.019835159182548523,0.0947786543045095,0.9935817127772123,11214.2265625,0
sub-s590_stroop,34.195613861083984,3.2840892623738407,0.021232299506664276,0.09120931126128469,0.9663327157100593,11706.966796875,0
