gsr_y,dvars_vstd,fd_mean,fber,tsnr,snr
-1.8569575762353776,-0.4214700100294117,-0.4491916268152736,0.4997655815285181,-0.758354571825017,1.3068917877916588
-0.223361700426119,-0.4150606882696538,-0.6235541401980297,-0.4973194665417745,0.318798911578857,1.9201238625570172
-0.1025068983829351,-0.5578586673678732,-0.4494166053087776,-0.6657298313534448,0.1795352410855372,1.5528524815421847
1.1928371047005637,-0.291795528901594,-0.6445944317445697,-0.7292552588090248,-0.2325609010019682,2.533607095665589
1.2985033738826603,-0.3314897547548907,-0.4712714975382298,-0.6571236559073141,0.1659678725435309,1.8242417500510744
-2.4718358072348003,1.5021694844550242,0.7221787307221444,1.9623560814291665,-1.832748495676654,-0.3267886358166944
-2.4718358072348003,1.5021694844550242,0.7221787307221444,1.9623560814291665,-1.832748495676654,-0.3267886358166944
-0.2081603306354191,-0.3035986962152601,0.4793931499068325,-0.4232992186093818,1.7501491327121987,-0.6007706161288026
0.4909590283815865,0.5552432238310147,-0.3852427047620994,-0.6935631906925293,-0.111390331689245,-0.2956966215426642
0.1099882990347368,0.8931008474980653,-0.5831328158687071,-0.5867877453242254,0.2887142897887498,-0.4320591498287924
-2.153647749852263,0.1094616195658363,-0.2396887383216593,1.4706214037935157,-0.865638868033932,-0.4709902023919769
-0.510109977699272,0.7116861524675606,-0.4743427760181247,0.0659198259354902,0.8581822811141957,-0.2909372916879659
-1.716303338470753,0.4657012535471454,-0.3104926680636788,-0.4749473957199578,-1.2760474959493533,-0.5157306500705199
-0.6059046480093238,0.5123142416915292,-0.0425259936453346,-0.3976828339756368,-0.4535240100566357,-0.106163992747375
-0.3568089191368442,0.5891181674507425,-0.05674901874704,-0.4992569400170126,-0.3524358270754463,-0.072293992111055
-0.8489645748344585,0.4774079565754632,-0.0590659243376104,-0.440326151864914,-1.1425010540189535,-0.055085268442283
0.1218288383964007,-0.2053041348370244,0.704514924541969,-0.7874190935139858,0.032039256266135,0.0909275361850221
-0.4166950296264406,-0.0680101732153897,0.5802366239333351,-0.8110954666488206,-0.5198057313822879,0.0831040443558144
1.0693965782639965,0.0457583348319511,0.310903580884421,-0.8438497040605207,-0.3829652017005264,0.2891008270439898
0.346925010434689,-0.1619341546567765,0.5937050501502493,-0.8759120719059863,-0.4896791737399075,0.0478344095147938
-1.83374565672527,0.7311218081477435,-0.4300197528428751,1.330045883445736,-1.2124847352845092,-0.9228039118102987
0.0096322397356963,0.5410070961356651,-0.6333052798750914,-0.0380641704230535,0.0630971325522623,-0.9106247698072376
-1.184767650416035,0.6288608169878425,-0.3889691441186082,1.8177628437721736,1.2030815902011776,-0.8055640575361654
0.3748318841299931,0.3213892921164284,-0.7141392277080205,-0.0001386941803371,0.1613630678031257,-0.7971478380544332
-0.6326635334278491,0.6922674374871667,-0.565004249998036,0.4215132446724238,3.1248391448795045,-0.8524414642430864
-3.2754092625090614,-2.9636081671358214,5.538450295043343,-0.6154472964653886,-2.8390981367336563,-1.7289087647436328
-1.5202152653038166,-2.961693336793284,4.236373308661723,-0.6681766938310753,0.0977541649630815,-1.688703591112634
-2.43132306865998,-2.823289494245903,4.1342500222708605,-0.5956308711822141,-0.5996206928905506,-1.7142807534259843
-2.3707000572823875,-2.7914732355597036,4.07019702930231,-0.4310118769373929,-0.0141343666049458,-1.710978394780571
-3.0505401818684423,-2.961507453470473,4.829823861383932,-0.6161395709828225,-2.6493777214977063,-1.7228065433763324
-1.234205111483384,-2.106431203626747,9.115700095937587,-0.1877693417595645,-0.1340639655456479,-1.5744369690026794
-0.9776043634052868,-2.1668279915927795,9.267477751712672,-0.3425720132900312,-0.0383739161817438,-1.5772961403372383
-1.8063033576254677,-1.5821505584189972,8.856369386534118,-0.5979192034797992,-0.6301291068888516,-1.6003692754771992
-1.935624420389304,-1.6446857951641096,8.995932438977244,-0.5357487856428601,-0.5507171898756302,-1.6035657144306954
