name,gsr_y,dvars_vstd,fd_mean,fber,tsnr,snr,mriqc_fail
s597_ANT,0.0301994923502206,0.9927602948007256,0.1227970396545403,12985.1982421875,40.83504867553711,4.119255893298856,0
s597_CCTHot,0.0279258731752634,1.0081984852405323,0.1106620111918948,12947.166015625,39.96372604370117,4.084193402645131,0
s597_twoByTwo,0.0301463641226291,0.9752478594849364,0.1328865637303759,12936.1728515625,35.479087829589844,4.055799549397661,0
s597_WATT3,0.0285601913928985,0.995810218477466,0.11935909602094,13048.748046875,40.54901123046875,4.0965957709614145,0
s597_rest,0.030417775735259,0.9765605939574474,0.1411602603634797,13168.076171875,36.12712860107422,4.120589839905667,0
s597_stopSignal,0.0300644729286432,0.9927625728094296,0.106378603253686,12785.30859375,44.9376220703125,4.082191019925851,0
s597_surveyMedley,0.0311197601258754,0.9998808240439936,0.0964949375817007,12056.7099609375,40.595645904541016,4.265769424308629,0
s597_rest,0.0299903657287359,0.9998439773758864,0.1059243402259335,13573.369140625,39.755958557128906,4.304211931109092,0
s597_DPX,0.0307289343327283,0.9667629896917496,0.1238253284120097,12881.9482421875,33.46302795410156,4.26715708799329,0
s597_discountFix,0.0318234600126743,0.9889647598008376,0.1092292681657476,11854.87109375,37.85191345214844,4.237742084576862,0
s597_stroop,0.0330892987549304,1.0257054578994087,0.1168352185382806,11576.1767578125,38.68329620361328,4.206804031071388,0
s597_motorSelectiveStop,0.0318033695220947,0.9957648009155634,0.1292301464646432,11946.15234375,33.5558967590332,4.236891246341862,0
s590_twoByTwo,0.029806200414896,0.9625747266763856,0.0792308224272623,12996.345703125,37.230926513671875,3.3737718972280586,0
s590_CCTHot,0.0303443297743797,0.9866775543484042,0.0743638417704261,12933.10546875,42.17064666748047,3.357719370173561,0
s590_rest,0.029182530939579,0.9770103063971636,0.0739229189717211,15742.60546875,41.51118087768555,3.4439684506664925,0
s590_ANT,0.0302662570029497,0.9835440783677298,0.0751400683963867,13583.263671875,41.40745544433594,3.365864241158977,0
s590_WATT3,0.0307172331959009,0.9790755486267596,0.0778296513446888,12631.70703125,39.214630126953125,3.364301800524048,0
s590_stopSignal,0.0293562300503253,0.9767769595275592,0.0742624305230109,15150.8037109375,41.5335693359375,3.409043620467014,0
s590_motorSelectiveStop,0.0198351591825485,0.9935817127772124,0.0947786543045095,11214.2265625,35.01911163330078,3.3184692983378055,0
s590_stroop,0.0212322995066642,0.9663327157100592,0.0912093112612846,11706.966796875,34.195613861083984,3.2840892623738407,0
s590_DPX,0.0208749193698167,0.952364350589302,0.0863315096306558,12587.3046875,32.279266357421875,3.298568165560973,0
s590_discountFix,0.0195589736104011,0.9827975503651988,0.0949917707869003,11658.923828125,35.57391357421875,3.3174394398426803,0
s590_surveyMedley,0.0200960282236337,0.982088608502496,0.0743462722859253,12196.546875,44.21230697631836,3.3040056025394313,0
s590_rest,0.0202518831938505,0.98529115529078,0.0710596243061739,14075.31640625,39.963600158691406,3.335047479366128,0
s599_stroop,0.0334828868508338,1.0015047658579883,0.1157804073361114,12278.720703125,44.80672073364258,3.406888612516739,0
s599_DPX,0.0319546423852443,0.9912795605893022,0.1433265463847645,10964.0380859375,33.3386344909668,3.344843010177966,0
s599_surveyMedley,0.0335059240460395,1.0011699391347757,0.1279599714195749,11030.7939453125,43.75384521484375,3.3362750155139116,0
s599_discountFix,0.0328832268714904,0.9670409049294252,0.1466926015068202,11186.7783203125,37.296531677246094,3.377826095631988,0
s599_rest,0.0330112054944038,0.978639168780142,0.1106084729031965,11481.990234375,40.902565002441406,3.423588274816891,0
s599_motorSelectiveStop,0.0336673967540264,0.9638254583011184,0.1396461864398981,10978.619140625,36.75579071044922,3.341125586140494,0
s555_twoByTwo,0.025197235867381,0.96647311526725,0.0620909226033009,9826.6982421875,38.63599395751953,3.1251286769412325,0
s555_ANT,0.0245985481888055,0.9953523258745248,0.0593850978020242,10390.1474609375,46.16164016723633,3.15390661955506,0
s555_rest,0.0247510243207216,0.9869680006524832,0.0681162746946673,10810.341796875,41.534385681152344,3.1421332149446344,0
s555_WATT3,0.0241023451089859,1.0001348075866177,0.0767328163800442,10264.6826171875,35.53641128540039,3.1406665718800744,0
s555_stopSignal,0.0239881183952093,0.993313838004116,0.0592834912238999,10062.435546875,44.99327087402344,3.1335830103413955,0
s555_CCTHot,0.023356394842267,0.9751418371334596,0.0685772541931733,10928.111328125,37.2164421081543,3.104354807959622,0
s555_DPX,0.0264733396470546,0.96997882650952,0.0572796114525136,10642.486328125,41.158355712890625,3.0154597509093013,0
s555_surveyMedley,0.026181973516941,0.9840601456073216,0.0618703551913914,11332.271484375,47.26604461669922,3.0447479341750636,0
s555_motorSelectiveStop,0.0259733814746141,0.9774572339674452,0.0586641615715349,10550.126953125,43.6446418762207,2.986450457626072,0
s555_discountFix,0.0261558648198843,0.9764677729547846,0.0572897428089094,10584.4091796875,43.69831466674805,2.9619855877974155,0
s555_stroop,0.025834621861577,1.00001106433735,0.0609671099100641,10637.47265625,51.12344741821289,2.9659093001461185,0
s555_rest,0.027260635048151,0.9780494365531918,0.0630569862808443,11595.3203125,43.618385314941406,3.045104990775378,0
s358_stopSignal,0.0191753488034009,0.9976627774760998,0.1283691601088712,20088.876953125,36.59288024902344,3.7618955118699393,0
s358_rest,0.0229162611067295,0.9726443164113484,0.0759458632825723,22802.208984375,38.406002044677734,3.5776347785811167,0
s358_twoByTwo,0.0184905044734478,0.972432752585033,0.0877405650915325,20479.0625,41.5596809387207,3.6994872635789102,0
s358_CCTHot,0.0181552190333604,0.9892817720446524,0.0885945605614952,19276.9296875,40.73958969116211,3.5852622835242376,0
s358_ANT,0.0182525981217622,0.939995546135182,0.0867753445849817,20550.259765625,35.58039855957031,3.665644956134687,0
s358_WATT3,0.0200915560126304,1.000624292794702,0.1046955331414551,20748.650390625,40.73765563964844,3.5739674905836964,0
s358_discountFix,0.0200389958918094,0.9875779311310776,0.1399234206433927,15418.2646484375,35.17314529418945,3.893293108643085,0
s358_surveyMedley,0.0189847946166992,0.972763018336106,0.0888448081537509,17552.0703125,39.93952178955078,3.973677716037443,0
s358_motorSelectiveStop,0.01953742839396,0.9519187375381492,0.1485954615935565,15953.8876953125,32.246665954589844,3.9495438878714144,0
s358_rest,0.0208948999643325,0.9663806360992916,0.0827209028502465,14738.0673828125,37.0119743347168,3.845133940722187,0
s358_DPX,0.0197724495083093,0.9249969789598536,0.125733989188312,14972.2041015625,28.46253204345703,3.848809542651043,0
s358_stroop,0.0172289628535509,0.959790649969136,0.07148519909006,14884.314453125,42.81889724731445,3.863419770048571,0
